indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
personality and neighbourhood,1.8514786,-6.7426014,9.329706,1.0082748,0.6913465,2.872588,3.0879257,-0.98620087,-3.2620683,4.4224286,0.962563,3.8390028,1.955317,-4.9794445,0.09825292,-3.7097096,3.269551,2.5435178,-4.9450483,2.0938706,1.9689857,-2.0545819,-1.506953,-0.3479709,2.584985,3.261325,2.5678754,0.8128236,-0.3006503,0.9771442,-0.12166542,2.8485575,1.2329719,1.92642,1.2712108,0.12579101,0.6071074,-0.30099922,1.6469139,-1.8210967,-0.019694626,-0.6429957,-1.6946002,0.68286145,-0.98828346,0.0070034415,1.5052843,-2.460246,-0.79143757,0.16740346,3.6551042,-2.0417233
Most people can be trusted (synthetic index 0–100),-5.8950686,5.0652294,5.9741592,6.140192,6.108892,2.9521577,1.333878,-7.486818,-0.4005232,2.88412,-3.023421,-0.5998254,-0.19904,-7.1366425,5.7248154,2.9270432,-0.6294146,-1.2103496,5.7450294,-1.4403858,2.0715928,-0.10164714,-1.5598758,2.474741,-1.5063283,1.3596178,2.9933288,-3.0922775,-1.5370406,3.7332497,-2.217461,2.0165427,0.48763514,1.4437929,3.8182049,0.30663925,-2.790028,-2.8002079,-4.9409328,-1.2426252,-2.2470422,-0.19989464,1.3286703,-0.83659184,-2.3779502,1.248393,0.0066902637,2.6950634,-1.8780667,-1.4503098,-0.00173828,-1.0223873
Smart and appropriate location,5.530014,-7.0033283,-4.9233513,1.3878326,1.773341,-2.0811496,1.781793,5.246689,-0.38117772,6.088318,0.8707439,-3.9261627,4.53366,-1.7537167,5.2643275,-0.44430554,2.7527425,-3.0148442,-1.0945683,5.172333,-3.078291,-1.3336931,-1.6291091,3.4102793,-2.8067417,-0.61031806,1.0407596,3.306981,-0.17876472,2.7166026,0.5212625,0.73775625,0.61921704,1.6590748,-0.8769205,0.9482484,3.414548,3.717507,-1.4415929,-2.1180596,-0.8895225,-1.4356341,-1.6603541,-0.685645,2.7430582,-1.3815745,0.23481761,0.42227224,-1.8835692,1.7347566,1.6890347,1.0498463
Natural hazard mitigation and protection,11.575612,5.0721827,-2.678889,-1.7856952,5.4452844,-0.33735242,5.7754345,1.1717222,-2.7910838,-0.34064198,4.5903316,1.9749212,-0.8417665,0.95720005,-6.1101227,-0.3555681,0.073072754,-3.5973322,2.1767116,0.4732097,3.4519024,-1.3585083,-1.1878539,-0.9355104,-1.3886619,2.767556,0.95750886,1.9006693,2.2210577,-0.546009,-0.9221206,1.1040581,0.42635912,-0.53018826,-1.8484119,-1.9415386,-3.1419213,-1.9908627,-0.18555671,1.6835346,0.9552347,-3.9507418,-2.706951,0.635291,0.5613996,2.907171,1.0476385,3.537834,0.42077383,-1.2240245,0.08300629,-0.59198314
Evacuation During Disasters,-0.018118626,8.370802,-0.7305109,-1.3027561,9.438297,2.320495,3.1223426,-0.7051379,0.45650503,2.684308,6.187538,-1.5138674,1.2250135,1.6649984,-6.6026316,1.7419622,-2.2775578,-4.190551,0.24154267,1.3453374,-4.4853044,0.22493255,0.035858423,1.531107,2.2554746,-6.869277,-3.8874993,-1.3483713,1.6255894,-2.9567502,1.904561,4.646821,-0.8680249,0.27671084,-0.23666286,-4.364561,-0.010895416,-1.7097536,1.9251871,-0.575344,0.120012045,1.1611497,-0.82613707,-2.491558,-0.9653515,-5.1138043,0.63237166,-0.06749511,0.92329645,2.9607515,1.4887581,-1.6364046
Shelters for disaster mitigation,7.8726273,6.1733904,-3.7060978,3.859177,7.4587297,1.4743935,9.459508,-3.5499887,-3.619829,-1.3819175,5.7021422,3.9268765,-1.541031,1.2314011,-6.1440105,3.9655828,0.3683054,-4.2188063,0.088257164,1.1228456,-0.73736095,-3.5109434,-0.95180887,-0.75986993,-3.237545,-4.3063335,-1.5704145,-2.4583564,1.9344873,-1.3863987,-1.5502584,1.1466844,-0.2357391,1.3206637,-3.6665823,-0.7549176,1.1711166,-0.7671035,-2.4583173,1.4273818,-0.3406517,1.3909682,-2.8778512,2.0856724,1.5229056,-1.1219637,-0.049245328,2.0666852,1.8246439,-0.4046151,2.1782758,-0.9097879
Building information modelling (BIM L2),-3.010152,1.9356859,1.8418398,6.657756,-0.4092711,-0.23699144,-4.570581,1.3176547,-0.22627038,-1.6971978,5.364927,-3.4760873,0.9958735,2.1327639,5.2094064,-0.7296368,3.4729388,-2.8089433,-0.3837754,-1.1951237,1.7288465,-1.8462118,1.1212233,0.015068248,0.9770713,1.8478886,-0.6548608,0.26051754,2.1966662,-1.5989801,-0.19679928,1.2374533,-3.9420934,0.72045904,2.2040217,0.86160195,2.900525,-1.0991551,1.597352,-1.4589862,-0.8163816,-3.7878132,0.94133365,1.5098913,3.649634,-0.8100075,-1.0164688,1.3154579,0.53634685,-0.38392323,1.3694574,-3.5963445
Flood Avoidance,4.255616,8.646114,-7.3603578,-3.7983046,3.315154,-2.0489259,7.120471,-3.6367831,-5.5636034,-2.6094174,-0.13663706,3.3612657,2.8905654,1.8391116,-2.5854,2.3870752,0.50666547,-5.5610356,-1.5192443,1.6990923,-1.0550247,0.77837014,-3.510314,-3.9330754,-1.9749129,-2.1203732,-3.8038647,0.44477993,1.6302925,-3.1259952,1.7962619,-2.2987764,0.2691515,-0.4959075,-1.9856856,-2.4103527,1.4521527,-0.14836329,-0.7564938,0.386823,-0.7396451,1.0187466,-1.651367,0.10123271,1.7393882,1.0613594,0.31141105,0.23866251,0.63817465,0.5366221,0.59411114,0.30270627
Digital infrastructure,-0.94062537,-5.5317597,-4.903022,1.7518234,-2.0361435,-1.932281,-0.5816139,-1.6250955,-0.07682733,-0.9170452,1.1074681,-1.2223237,0.31769478,3.798328,1.2974538,3.00515,4.40654,0.20646158,-1.9441421,-0.9095593,1.1142064,0.5076685,5.031086,-4.894978,-2.4244826,-1.2290506,2.7814293,-0.92304844,-0.35415927,-1.123511,0.9828527,-2.29134,1.3643185,1.852362,-0.23534434,0.9646605,-2.282945,-1.9940937,1.5125761,-0.13759893,-2.718131,-0.08495478,-1.1531633,-2.4606109,0.39471602,0.018776894,-0.64698505,1.8491379,-1.6849242,2.7450953,-1.7707322,1.1557567
Efficient Infrastructure: Smart Grid Technology,4.040542,-1.6221316,-7.046483,4.0624866,3.408721,0.2227864,-3.405344,2.92624,4.595394,3.6692164,0.9659225,-3.0309803,-0.9794185,2.4682336,4.409971,0.22855283,1.6063771,-1.7821239,-1.4441247,6.3049326,-2.384553,1.5585976,-1.833369,0.1093258,-2.2418437,-4.1453714,6.0064077,1.3383905,-0.97690386,0.1889231,-0.05425738,-1.6262985,1.8925487,0.2148155,-1.0642219,0.51084256,-1.3643433,1.3239394,-0.4996172,2.1936643,-0.032545567,-0.59496844,-0.5557864,-3.4345944,-1.2365202,1.2413571,-0.14610413,1.4490242,-1.233428,-1.1408893,-0.57323295,-0.76118696
Risk Exposure Mode Wise,-0.45891696,-3.798838,-1.4084096,-1.1938596,-1.0667748,-1.993959,1.121325,1.3493563,-0.68849117,2.8500202,5.014471,-2.046743,-0.7443428,1.3511221,-6.502275,-4.581253,-3.8327932,-7.1466427,-0.029884845,-1.2456851,1.408699,-0.53312504,2.1334896,-4.516177,2.4400053,5.034695,-1.5119781,4.1643534,-0.2369354,2.1959145,3.1223667,1.3247628,0.10517078,0.6961585,0.09274669,-2.0749984,-0.8099986,-0.9175455,-1.486541,-4.540198,0.0024998486,-4.127527,-0.66853184,-0.38470602,1.3164667,1.9947941,-0.102106996,1.8637666,-1.9472513,-0.89025354,-2.335762,-0.19562104
Risk imposed by modes,-1.8751793,-3.3473265,-3.2310193,-0.66837317,-3.087641,-0.115825504,8.195704,-1.5697539,0.9325631,0.35836226,1.409955,-5.611811,-0.11673415,0.2053492,-4.6466503,-1.8441777,-2.1174412,-8.381905,-0.19363505,2.9130163,3.1058733,-1.4911321,1.5322788,-1.1148072,1.10602,4.8677726,-3.4389567,1.4256305,-1.0736024,2.2358994,3.3456833,0.69723237,0.6253479,2.5019681,-0.36038864,-0.460716,0.5729197,-1.5323788,0.10184845,-5.617554,1.0868305,-2.6847332,1.885901,0.7594909,0.35130054,1.7478416,0.8539082,2.3690777,-0.40935487,-1.3911829,-2.8365731,-1.674743
Number of firefighters,-4.863757,5.022979,4.3887243,4.2201176,2.0741758,3.277106,-1.8307726,-3.7845006,2.7551477,-6.8941026,-0.00048464537,-1.1701267,3.055534,-2.498132,-7.594288,0.5052161,-5.768094,1.9269127,2.48304,-6.631138,-3.774225,-2.0029836,0.05064726,2.5938287,-2.462042,1.4396174,0.27059627,2.6742272,3.459009,-1.2670729,0.51967484,1.6698333,4.406677,-0.6665304,1.6161475,4.3314347,-2.0869026,1.0883868,-2.0483289,-0.17811733,-0.24273965,-0.990711,0.72540146,4.3542323,-0.25718954,-2.376036,-0.01430434,-1.0596869,-3.4272342,2.0748124,-0.57947135,-2.3246899
Preparedness of fire team,5.691626,0.9867182,-5.9681387,7.8782635,7.403517,-1.1724684,1.4665502,-3.3004863,2.7589073,-8.636248,1.5401976,0.7535776,1.9456277,-3.6560712,-2.126444,-0.7816664,-4.6602135,-0.934159,0.7258926,-2.744176,-2.0601218,-2.932192,-2.1166103,0.26043248,0.40876248,-2.1153746,-1.3942406,1.8565114,4.183302,0.5566043,1.6071932,1.3446646,0.9239602,-1.6122992,-2.114153,1.7852309,-1.3164886,2.269896,-3.3778872,0.68506044,-2.7186453,-4.0462933,-1.1612839,3.7654016,-1.625267,-0.46645528,3.9417162,-1.3980858,-1.6801852,0.31893355,-3.4940252,-0.33656192
Mortality rate of disasters,-0.84520835,0.025856197,0.62874186,-1.1818573,0.7372678,4.4625797,7.1959877,-4.2491903,0.7011622,0.7716308,2.1911175,0.96196043,9.879046,5.2862635,-6.9525223,4.4404354,-4.04945,1.3492155,0.27638584,1.2510918,-2.382369,0.8620634,4.0294065,0.33577567,0.5270703,0.28184217,-2.0952969,2.8667982,-2.1820097,-0.20766214,1.9403405,1.8621538,2.3818517,3.0418382,1.7638763,-2.4871397,0.010259867,3.5154397,5.332396,-3.1088119,0.16371089,-2.7999918,1.3095526,0.6873493,-1.8723692,-0.20548366,-2.025776,2.9242682,1.4773705,0.7527894,-2.51231,-3.1018276
Response time for fire,-0.28203237,4.866189,-0.7781423,5.523757,5.956067,2.4324381,-0.39414477,-4.9603896,4.5776033,-7.722287,-1.6465379,-0.8201984,2.708227,-3.3033361,-5.346431,1.912441,-5.03861,-1.6533275,1.1987584,-2.28425,-3.0433452,-2.0017023,3.490557,2.4831843,2.3281271,-2.2597442,-1.5420586,1.8971047,2.4991958,-2.3783445,1.106884,1.2115734,2.550333,-1.204047,-0.25597483,0.073648855,0.64567256,3.4580638,-2.265134,-1.1140214,-2.2467608,-3.9040303,1.235537,3.0740232,-2.3850324,-3.4191701,2.2094288,-2.095037,-0.7078054,0.2277998,-0.028835416,-2.3449345
Disasters mitigation,6.6332264,4.0855713,-7.193692,3.6103091,4.4457016,1.8052127,5.1251254,-1.5440099,-2.9576902,-0.8250093,1.5461978,3.4596362,2.3086932,1.8416843,-6.600258,-1.6360519,1.1145484,-2.997884,1.6589861,0.04333186,-1.300567,-4.704303,1.3298208,-1.6909333,-2.9134774,1.1536158,-4.2323728,-0.21667065,4.454536,-0.39480823,1.5592539,2.264132,1.335163,-1.3157386,-0.5612784,-1.5568789,-1.8593482,0.2389099,0.5869516,-0.9190537,0.9686149,-0.77742064,-2.0592723,3.036006,-3.7325127,1.482643,-1.251963,2.060759,0.2886785,-1.8633369,0.58572155,-2.8975291
Preparedness of emergency team,6.50753,1.3985785,-8.756674,6.955266,8.298367,-1.3415043,3.3788717,-4.5610137,0.25665975,-5.0222225,1.592717,1.5497117,1.9881041,-0.12676978,-4.4196453,-1.0003172,-0.7287767,-3.4266028,0.8918605,-1.6544119,-1.7254903,-1.6391708,-0.44751835,2.1381023,1.1911815,-4.374099,-1.130102,-0.6638724,2.2814922,3.0509515,0.865398,3.70091,-0.49223483,-2.4092593,-1.5618062,0.5486158,-2.7298179,1.5906003,-1.7631646,1.0212365,1.3960876,-1.9101107,-3.2574153,2.2452729,-3.1311204,-0.9803537,3.0172026,-0.84383506,0.53368723,0.5098344,-0.7226495,-1.4343266
Emergency Operation Centers,1.8148233,2.272531,-3.3369622,4.2074924,5.224343,0.9764719,-0.6633774,-4.1056314,4.815624,-0.98729306,2.698821,-1.3178142,0.105032355,0.7571265,-4.3660603,0.5217962,1.9427885,-4.9468913,0.85869336,-4.994453,-5.3451705,0.43905753,0.20378008,3.651702,-1.3137037,-1.0401608,-2.7013023,3.6375616,-1.4817135,0.059883058,0.2780466,1.9780068,0.92167914,-0.55349624,0.3659046,-3.111773,-0.2853706,3.2921839,-0.04974544,-0.10134506,4.2164226,4.18825,-1.8143778,1.4881784,-2.2472012,-0.57306826,1.3687199,1.3724189,0.5913517,0.060553014,0.721061,-3.627956
Importance as a knowledge hub,8.132383,-5.1604667,-4.5450325,0.8470904,-1.2075604,-3.3887389,-0.9372526,-0.6379463,1.9904026,3.6467204,0.0116325915,-1.484396,2.2500343,7.663291,3.9115,2.5326118,0.6512369,1.7976605,2.2507234,4.182474,-1.4194229,-1.9336226,-4.5948353,2.4949787,-1.539943,-3.3102343,3.7837758,1.8910587,-0.15352608,3.3157825,-2.9064076,2.7231188,0.44972956,5.8521748,-1.4257686,-2.7233253,2.0090303,0.60458547,-0.1494152,-0.40801442,-3.9301972,-1.4023046,-1.9276319,0.36522406,0.91394067,-0.6889666,-3.1514862,0.70739436,-2.1766677,-2.1183448,1.6597326,0.029432848
Mean soil sealing  of UMZ of core city (EEA ),1.7800889,10.58998,-1.3388624,2.9083629,2.8764148,0.56627727,1.8740073,-0.49171627,-1.0084332,-6.6227045,8.141687,-3.5023475,-0.28630245,-1.8705075,5.816745,-2.3040514,3.947728,-1.08564,1.7740464,-2.2662535,0.12468487,0.8811328,4.133828,3.351981,-0.7876954,-0.12035628,4.624216,-3.7197416,-1.7726598,4.369986,-0.982664,-0.71523935,-3.378359,0.056827813,-2.234952,-0.1781618,-0.08603452,3.6230645,-1.6068649,0.87572193,-2.7475712,0.6667832,-3.7689583,1.629647,-0.22162962,0.5458051,0.17697668,-1.6603552,2.4208095,-0.7686152,-0.8146646,-0.79646754
Google hits for the string city name & climate change & heatwave (hits per million inhabitants),-6.6582403,5.6748185,3.746299,-2.3539152,4.6187267,10.419738,-1.7415106,-0.3763879,1.6212751,-4.796802,-0.018888526,0.47502995,0.6257178,-2.4446437,8.351383,1.7395672,-6.272569,-4.818261,-0.9021376,2.8186798,-5.029249,-6.4660854,1.0572227,0.51514006,1.574688,1.0592313,4.121805,4.680904,-0.14235243,-1.3727762,-0.32623285,4.5872154,4.0873756,-4.0852447,-5.756169,-4.001413,2.5860262,-0.72286654,0.4169173,-5.4355226,0.21710587,1.7702861,-0.9492413,0.9169187,-0.31809556,-2.144576,-1.4013412,-0.21946132,0.9774915,0.67744523,0.7345887,1.7793982
Google hits for the string city name & climate change & urban heat island (hits per million inhabitants),-6.430931,4.127932,2.8197045,-3.4253385,3.6086133,9.9507265,-0.6678833,-0.4208338,2.0359807,-5.4642773,0.03402991,-0.05467733,-0.08623648,-2.0964084,7.88245,1.955037,-3.637493,-3.8297172,-1.2269318,3.460659,-4.6444907,-5.510105,0.7031878,0.016914248,0.47701955,2.134928,3.2485871,5.203458,-0.67935157,-1.3608227,-0.29956183,4.094789,4.0472918,-4.5608134,-4.7306805,-4.354766,2.6611207,-0.65302056,0.244527,-5.269739,0.73581535,2.052872,-1.8536068,0.23152894,-0.4908117,-1.9088948,-1.944943,0.32238394,1.1098658,0.6378033,1.9550365,2.265384
Google hits for the string city name & climate change & drought (hits per million inhabitants),-5.0764246,9.072394,3.8407292,-2.4673533,1.3184052,8.386413,0.47953945,-0.62335247,1.5614965,-6.8037753,-0.76805204,2.459971,0.9195386,-3.0509682,8.112221,0.38305146,-5.106044,-4.926912,-2.4532218,3.5118093,-4.66103,-2.8631365,1.2678275,1.0004935,2.2897058,-0.12624007,4.505664,3.9779673,0.4845809,1.2280004,-0.11869037,4.233452,4.083519,-3.4823978,-4.3983846,-3.6222358,3.4247744,-0.045941114,-0.14156766,-4.0196004,-0.121700436,1.576725,-1.6632266,-0.27220756,-1.7441378,-3.6437123,-4.838772,-1.1458051,0.60223484,1.1400334,2.1303446,0.8916323
Google hits for the string city name & climate change & sea level rise (hits per million inhabitants),-5.639863,5.2942495,0.53363717,-4.6102633,0.022400856,8.379102,1.2679443,-2.1656291,1.2914729,-6.6264505,0.30564284,2.0444694,2.0361373,-1.1010393,8.195989,1.5321808,-3.3998852,-4.6947975,-0.63622963,4.2775583,-3.3224773,-3.93367,0.5945376,-1.4628932,0.17598072,1.4160365,2.3956406,6.5399256,-1.2825227,-1.2647482,-1.3773608,5.9027276,3.5996516,-3.7576625,-4.6805625,-4.104479,2.2081819,-1.1441717,-0.48434246,-5.1420236,1.7883911,0.65792596,-2.4761338,0.25197276,-0.7376685,-2.9508564,-3.721056,0.66676605,0.46346906,0.8559176,1.4449291,2.255626
Google hits for the string city name & climate change & flood (hits per million inhabitants),-5.4706216,6.520376,1.0936693,-4.341387,-0.01034075,8.388438,2.0417314,-2.388095,2.5899377,-7.218202,-0.6319387,2.8615687,-0.22517982,-1.8612869,7.824704,2.373308,-3.2255638,-4.317386,-1.8140445,4.821226,-3.9218955,-3.6503968,0.1704334,-0.018622473,-1.1205027,1.867558,2.7468505,7.0021114,0.2604844,-0.6553055,-1.5948545,5.251459,4.949038,-4.126296,-4.5748053,-4.483756,2.527015,-0.5737934,-0.6213048,-4.951394,0.97070616,1.6087242,-1.91711,0.09939018,-1.2965521,-2.9868772,-3.604065,0.16868752,0.38507733,0.31106007,2.032025,2.1095161
Google hits for the string climate change (hits per thousand inhabitants),-3.402503,2.7237058,3.9862835,-1.106271,-1.9923507,5.6222014,1.7655172,-1.5015836,4.796288,-6.008014,0.5998922,1.7447584,0.26849195,-1.8364282,6.2559013,1.4839792,-4.1736164,-2.8575666,0.122807935,3.545671,-3.3983881,-2.9551475,0.17197749,-1.7572091,-1.672059,0.3068842,5.2115474,6.2071056,0.6731637,-1.9518863,-1.6218512,6.9021444,4.6425076,-3.1529424,-4.5588264,-3.9334855,1.8776166,-3.165715,-2.8727684,-3.6746705,0.30858672,0.23445967,-0.5284326,0.1889477,-0.64075655,-0.92269313,-3.358708,0.43815166,-2.0699887,2.5288236,1.5963615,-0.054385737
Number of literates,-6.8250904,-3.105802,4.745932,0.7766578,-2.2354014,-6.973613,1.867166,-5.8661957,1.0729107,0.8407205,-0.5537207,-0.68504906,0.86573905,2.5272944,-0.762823,0.40680122,-0.76197,0.13760588,5.7052712,1.525158,1.8350229,-2.871988,0.9863257,-1.2868433,0.93001693,0.6241619,-0.049687892,-1.0198717,3.14768,1.2663246,-3.7755413,1.1384201,0.77810544,-1.0470304,-2.7322407,1.2368585,2.0872955,0.39821473,-3.5117183,-1.8634326,0.8964304,-0.77474415,0.6417416,1.0008681,3.6314354,-1.9570179,1.6915151,1.4391015,-1.8647608,2.087405,-0.70863646,-0.9489101
Wellness acoustic,5.3667474,-0.71846145,0.29011527,2.7115078,1.8881414,-0.827494,0.93904614,-0.12468214,2.6329117,7.2107887,-0.056170255,-2.5374627,4.285305,-4.6883764,5.308906,0.50459176,0.29892623,1.7435219,-1.6006409,-2.314845,0.98996663,-0.19613722,2.2989655,-3.4850457,0.016257156,2.529416,1.6660066,-3.311182,1.1141986,0.84497905,-2.7683647,3.9420583,-1.3852886,-2.6261456,-0.38612044,-0.49123356,1.0690593,2.451652,0.8922244,-0.20414054,3.1730776,-0.93338317,-1.0987693,-1.0977412,-1.3725202,-1.1788251,2.1903143,-1.3179374,1.2024719,-0.36802825,1.2230803,-0.6956675
Aesthetic/scenic landscapes,11.576535,-0.8170928,4.991316,-8.306391,-0.9279881,2.5947978,-1.549262,0.029642403,-0.41222757,4.9937897,-2.7324526,-2.0350652,3.0460544,1.011739,1.7896074,-1.1430848,0.0539954,-2.5325336,-2.225627,-0.49085715,1.1552627,0.30242324,1.1006622,1.9106705,-0.9718709,-1.0174915,-0.19065784,-1.2418469,1.6783593,-0.8934074,-1.0881827,3.8500762,0.40478355,-1.3205615,2.245247,0.48532128,0.78531873,-0.7366044,-1.1808072,-2.0578914,1.2279867,3.6090763,1.718358,-0.0828048,0.86840904,2.4780865,-0.33462238,1.3760097,1.16999,-0.11445582,-0.46590564,0.096514545
Spiritual/religious landscapes,3.276501,2.8391037,3.6935496,-0.33979237,0.19039842,2.2274036,5.1974807,-5.7516055,4.829555,-0.45571548,-5.19665,-3.6234498,1.9332949,-1.3676803,-0.077929705,2.8238468,-0.24809697,0.4309203,-2.8989553,-3.0806026,-5.4804845,-0.19874659,2.99637,-1.5685629,-5.71037,-1.8064606,-2.20787,-4.866276,4.099694,-0.11578199,5.169346,1.0785841,0.084071994,2.0695238,0.9960433,2.9526858,0.26424122,-0.53762776,-3.8468232,-0.2870111,-0.2821806,1.7454953,1.4737575,2.11402,-1.2241235,-2.4707537,-1.1040318,1.5842054,-1.6494002,-0.360057,-1.535315,-0.47131556
Inspirational landscapes,6.788723,-2.6696255,3.9961576,-9.108717,-4.003899,-1.3212394,-2.9770963,1.0753522,1.2470491,0.5564419,0.35689992,-3.5705354,5.317475,-1.0850168,-3.7622461,-2.2350786,1.486605,-5.893,-2.6204572,-3.2619271,1.351438,1.6506407,0.45326084,-0.49705803,0.73970836,-1.068693,0.4708075,-1.2139304,0.36082536,-1.5336926,0.93828875,4.9268165,1.8093793,1.8274777,-0.5732362,-0.8849885,0.30206138,-0.28927553,-4.694698,0.2972774,-0.01612553,2.8095505,2.3291228,0.40538377,-1.985208,1.9798491,-1.6008201,1.349846,-1.2897342,-0.40759858,-1.8840452,1.9813471
Sense of place landscapes,10.21365,-2.383326,2.2848277,-7.0287275,-0.9846381,-4.094075,3.1715481,5.158722,-4.2453566,1.1977477,0.47539923,-5.206897,1.6511502,-0.49247178,-0.057325512,-4.1391373,3.368544,-1.0324813,0.26176915,0.93304193,-1.6646707,-0.4038133,0.84644985,3.6558092,0.06551926,-1.4338827,0.9187529,-2.0869582,0.89767784,0.95375156,-0.72792053,4.7844214,1.3148932,0.62020236,-1.2930887,1.028353,1.2945547,0.37492678,-3.0611963,-2.5209308,-1.6751192,0.32911867,-0.016368605,-2.1148243,0.8832935,-1.5842664,-1.7050252,1.456759,-1.3359792,0.3173588,1.3378639,-0.32240018
Cleanliness and Improvements,4.210535,2.678703,-3.1883483,2.0504637,6.938383,-1.9385116,-5.4856167,-1.679802,2.8737147,6.350579,0.9490541,-0.38512576,6.223121,-2.70603,3.6376143,0.69648355,1.9367428,1.9493592,-2.0678294,-0.27984282,-0.2789905,3.2071908,-0.26841855,1.372588,0.097958416,0.7878318,-2.509153,-0.059308395,4.0225015,-0.5141884,-0.385589,-1.2742213,0.6691791,-3.9537973,-1.220963,1.1191573,0.10065299,1.1287969,0.5403948,2.7259655,2.723193,1.0410961,1.1318121,-1.6505952,-0.9035943,-0.3951826,0.65855193,-2.0121584,0.114085674,3.02669,3.4410768,-1.369659
Attractive streetscape,3.5111265,-6.7190228,-1.4529476,-6.746489,4.1043463,4.489578,-4.1786823,3.568118,-2.5584967,5.335721,-3.2141387,-6.659583,7.128706,-1.0367534,-0.014693916,-0.1068357,0.35486197,-1.9204531,-0.34011108,2.7999656,-1.0587599,-1.0506587,-1.6821257,2.6842642,-0.19145042,1.167375,0.5639484,2.0073068,1.0558411,-0.40950862,0.88715595,-1.6843213,-1.8204253,-1.1068155,1.3342334,1.689371,-1.3320976,1.328285,0.7671963,-0.44886908,0.036267936,0.778636,0.3614321,0.720373,0.9028001,2.2816226,-1.0528038,-0.017547935,0.44979903,0.42889833,-0.9906869,1.0081592
"Beautiful, attractive place",6.994384,-3.2754288,1.0840855,-2.073389,3.984774,3.2631266,-4.8618646,1.4806722,-0.05248496,9.72796,-3.575633,-6.1538973,7.051077,-1.5918028,4.81045,2.129169,-0.40500998,-3.2140985,0.5453874,0.8843312,0.8016431,-2.9887536,-1.2478211,3.3903081,-0.35708964,0.12731506,1.8106384,-1.0600035,1.8005677,-0.49319836,-0.3776384,0.49115276,-0.33139336,0.16090158,0.8154627,0.966539,1.1479661,0.6472289,0.76385736,-0.13611972,0.5851845,1.7925204,0.87986207,1.7805974,0.9129227,0.88147277,0.8406621,0.78210545,0.8575734,1.7477274,-0.028286278,0.27194172
Scenic beauty,11.724083,-2.3248086,1.0602903,-5.154585,0.31172898,-0.15981722,-0.6451986,0.9682485,-0.13216883,7.176239,-4.4776115,-4.2621274,5.3969326,2.1722317,0.72234786,2.6177666,-1.6850426,-2.9456127,-0.41933137,1.2396181,1.2627316,-0.45903224,-0.79424596,1.4722476,-0.70123905,0.15496963,1.4129663,-0.4704771,1.4036496,-1.0338776,0.16538125,1.1071081,0.52114075,-0.39869648,1.4356711,0.87287235,1.5151258,0.24812257,0.14124832,-0.22882587,1.8810661,1.9399645,1.6023827,1.1457807,1.8847568,1.7960293,-0.2964964,1.6840758,1.1985879,1.4541168,-0.24359663,-0.11855933
Spiritual sites,4.0264235,2.2523744,0.91016996,-0.55187976,-1.1947267,1.6253881,4.0406694,-4.677917,0.46986568,1.7698705,-1.913663,-2.3333795,3.7015672,-3.5215313,1.5156099,2.9175339,0.014757305,1.8937985,-1.867399,-0.7123783,-3.6617424,-3.1788235,4.057941,-4.630692,-3.2651458,-2.2868829,-1.2440665,-3.2935793,2.5216098,-0.4587978,5.769991,1.7311382,0.55240244,3.1022263,2.3452668,3.1933107,-1.1688929,0.8870298,-4.2128277,-2.154706,-1.325635,1.1187693,1.2674546,0.600799,-1.5108862,-1.9975249,-1.740614,2.0251987,-0.4335132,-2.4175394,-1.0400074,-0.19469756
Viewscape quality,7.240985,-1.3279448,0.23056623,-4.7086306,2.168318,-2.8627677,-4.2473354,4.2109365,-2.593493,6.6816278,-2.5980477,-4.6384954,5.631631,2.9268897,-0.6475912,-4.6385484,-3.3432984,0.47123638,-1.7193234,-1.7065094,0.34517503,-0.26233846,1.7506267,0.7401112,0.6746154,-1.218336,1.5933692,-2.6962569,2.6654484,-1.0382199,0.30334997,-1.8490989,-0.6596142,0.038151003,-0.7504045,-0.30132258,-1.0667876,-0.3791989,-0.66803557,-0.3657888,2.539449,-0.8352827,0.7131144,-0.28578892,2.2675831,1.4315337,-2.2268865,1.0372523,1.4013369,0.42959952,0.3414182,2.483689
Protection of culturally important species,16.093948,0.22968367,-0.93158937,-7.5633707,0.45390338,2.1277516,5.2484245,-1.8381104,-2.9162455,-0.16028696,-3.435766,-1.0359547,2.2411375,4.2796116,-2.3033168,-0.71677643,-0.13950413,2.1728354,0.63283384,2.3354015,1.0405099,-1.1399412,-0.57742435,1.0807841,-1.8171308,-3.8796415,1.5721911,2.8845174,1.6201987,0.38219184,0.043988705,-1.4142956,-1.068195,-0.85256994,-1.8260081,-0.5032873,-1.0599298,-1.9383166,0.4861976,0.6850662,-1.0429543,-0.840925,-1.3888208,2.0764327,0.3396302,-0.42736107,1.9610705,0.086696,0.27955133,1.6624255,1.1037848,-0.083155684
