,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
Effect on area revitalization/development,Encourage new investments,Flexibility of future expansion,Growth rate,Ecological Enhancement,Development Outside Cities,"0,53","0,49","0,48","0,48","0,47",cultural
Effect on local business and jobs,Local job creation,Entrepreneurial activities in the municipality,Entrepreneurship,Employment status,job creation (new jobs p. year),"0,71","0,7","0,67","0,63","0,63",cultural
Effectiveness of landscape management,Natural Landscape Indicator,Landscape and vegetation cover,Land use efficiency,Environmental/ecosystem protection activities and efforts,Conservation of agricultural lands,"0,68","0,54","0,52","0,5","0,48",cultural
Effectiveness of planning in relation to the landscape,Planning policies and legislations,Security by design,Natural Landscape Indicator,Management and action plan,Participatory master plan,"0,58","0,56","0,54","0,53","0,51",cultural
Efficiency of landscape management,Land use efficiency,Natural Landscape Indicator,OPEN AREA LAND USE,Landscape and vegetation cover,Air quality improvement,"0,66","0,57","0,51","0,5","0,46",cultural
Efficiency of planning in relation to the landscape,Strong leadership promoting innovation and smart solutions,Natural Landscape Indicator,Security by design,Plans and strategies for mainstreaming smart city planning,Efficient Infrastructure: Smart Grid Technology,"0,52","0,52","0,5","0,48","0,48",cultural
Efficiency of the measures referred to landscape planning,Land use efficiency,Natural Landscape Indicator,Strong leadership promoting innovation and smart solutions,Smart and appropriate location,Plans and strategies for mainstreaming smart city planning,"0,54","0,54","0,5","0,45","0,45",cultural
Enhancement of industrial,Productivity,Strong leadership promoting innovation and smart solutions,ECONOMIC EFFICIENCY.,Qualification and skills,Encourage new investments,"0,63","0,58","0,56","0,55","0,54",cultural
Enhancement urban green,Green infrastructure and green city initiatives,Green Infrastructure,Per capita urban green space,Green Buildings,Provision of green spaces,"0,75","0,63","0,63","0,63","0,6",cultural
Ensure the quality of the traditional resource use activities,Sustainable Natural Resource Management,Protection and management of cultural heritage,Resource recovery,Biodiversity and Habitat Conservation/Restoration,Sustainable Resource Management,"0,64","0,59","0,57","0,55","0,55",cultural
Events successfully implemented and evaluated,DEMONSTRABLE EXPERIENCE IN THE SIMILAR PROJECTS,Management and action plan,"Strategies and infrastructure for timely data communication, sharing, and reporting",Strong leadership promoting innovation and smart solutions,Participatory master plan,"0,77","0,58","0,56","0,54","0,53",cultural
Existence and visibility of cultural landscape elements,Cultural Facilities,Access to Cultural Facilities,City council of culture and historical heritage,"Cultural centers, houses, and cultural spaces","Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","0,72","0,71","0,58","0,57","0,56",cultural
Existence of fruit trees,Tree planting,Forest area per capita,Percentage of forest lands,Forestation and reforestation,Landscape and vegetation cover,"0,7","0,64","0,64","0,63","0,61",cultural
Existence of old habitat trees,Percentage of forest lands,Forestation and reforestation,Forest area per capita,Tree planting,Density of trees within the park,"0,64","0,62","0,61","0,6","0,57",cultural
Experience with local natural- non-agricultural and non-timber products,Non-EU foreigners as a proportion of population,Forest area per capita,Percentage of forest lands,Green materials in municipal operations,Change in Number of Native Species,"0,47","0,46","0,44","0,41","0,39",cultural
Familiarity,Feeling of belonging,Reliability,Peoples acceptability,Social cohesion,Community attachment,"0,7","0,55","0,53","0,5","0,5",cultural
Forest edge indicator,Percentage of forest lands,Forest area per capita,Density of trees within the park,Tree planting,Landscape and vegetation cover,"0,75","0,72","0,64","0,63","0,62",cultural
Free time & social interaction,Leisure,Vacancy rate,"design features that allow for social interaction (parking, squares, etc)",Flexibility of future expansion,Participation in Cultural and Leisure Activities,"0,56","0,53","0,53","0,52","0,48",cultural
Frequency of sharing salmon legends annually,Concentration of PM10 particles in residential areas p. year,Annual average concentration of PM10 (g/m3),Number of days particulate matter PM10 concentrations exceed 50 μg/m3,Status of participatory monitoring of biodiversity,Number of reported cases or complaints about insect problem,"0,41","0,4","0,4","0,4","0,38",cultural
Funds for building renovation,Expenditure on Infrastructure,Construction Plan,Housing construction materials,Housing-related expenditure,"Funding for smart city projects (public/private finance, crowdsourced, etc.)","0,72","0,59","0,56","0,53","0,52",cultural
Funds for the improvement of the physical urban environment,"Funding for smart city projects (public/private finance, crowdsourced, etc.)",Municipal biodiversity strategy budget size,Municipal human development index,"Municipality budget on Health, safety and enivironmental issues",City internationalization activities,"0,49","0,47","0,45","0,43","0,43",cultural
Garden,Vegetation,Green Infrastructure,Public parks and gardens,Green Buildings,Green Space per vegetation cover,"0,64","0,64","0,57","0,57","0,57",cultural
Garden planning suitable with environment,Natural Landscape Indicator,Environmental Management System,Environmental/ecosystem protection activities and efforts,Environmental conditions,Space allocated to nature conservation,"0,66","0,62","0,6","0,54","0,53",cultural
Heritage,Heritage and Cultural Identity,Protection and management of cultural heritage,"Preservation, valorization, and diffusion actions of material and intangible heritage",Land reclamation,Senior care homes,"0,82","0,58","0,47","0,43","0,41",cultural
Heritage objects,Heritage and Cultural Identity,"Preservation, valorization, and diffusion actions of material and intangible heritage",Protection and management of cultural heritage,City council of culture and historical heritage,Senior care homes,"0,78","0,64","0,58","0,41","0,39",cultural
High architectural values,Intelligent buildings,Quality of housing units,Touristic attractiveness,Housing quality,Percentage of building land in built-up areas,"0,73","0,57","0,54","0,54","0,51",cultural
Historic monument values,"Preservation, valorization, and diffusion actions of material and intangible heritage",Wealth Index,Public Revenue Per Unit Area,Total public revenue,Income gap between the richest and poorest,"0,56","0,51","0,49","0,49","0,45",cultural
Historic relic indicator,"Preservation, valorization, and diffusion actions of material and intangible heritage",Heritage and Cultural Identity,Elderly population,Regional Materials,Land reclamation,"0,47","0,44","0,43","0,43","0,42",cultural
Historical heritage sites,Heritage and Cultural Identity,Protection and management of cultural heritage,City council of culture and historical heritage,"Preservation, valorization, and diffusion actions of material and intangible heritage","Cultural centers, houses, and cultural spaces","0,76","0,68","0,59","0,54","0,44",cultural
Historical path,Heritage and Cultural Identity,Travel Time,Access to information,Lifelong learning,Identity and local culture,"0,61","0,44","0,43","0,4","0,35",cultural
Historical sites,Heritage and Cultural Identity,Protection and management of cultural heritage,City council of culture and historical heritage,"Preservation, valorization, and diffusion actions of material and intangible heritage",Cultural Facilities,"0,68","0,47","0,44","0,42","0,39",cultural
Historical/cultural heritage,Heritage and Cultural Identity,Protection and management of cultural heritage,City council of culture and historical heritage,Cultural Facilities,"Cultural centers, houses, and cultural spaces","0,92","0,75","0,7","0,63","0,63",cultural
Historically designated sites,Heritage and Cultural Identity,Protection and management of cultural heritage,DEMONSTRABLE EXPERIENCE IN THE SIMILAR PROJECTS,Identity and local culture,City council of culture and historical heritage,"0,61","0,44","0,38","0,38","0,35",cultural
Hotel architecture harmonized with environment,Quality of housing units,"Efficient management and use of energy (buildings, public spaces, etc.)",Air quality (no pollution),"Contractors Health, safety and enivironmental pre-qualification",Harmony with the surroundings,"0,5","0,45","0,42","0,41","0,41",cultural
Identify the culture,Identity and local culture,Cultural Facilities,Heritage and Cultural Identity,City council of culture and historical heritage,"Cultural centers, houses, and cultural spaces","0,74","0,61","0,54","0,52","0,51",cultural
Iinstitutional management on Creative Residencies,Cultural Facilities,"Cultural centers, houses, and cultural spaces",Institutional Capacity,Access to Cultural Facilities,Government-institutional land use,"0,55","0,5","0,49","0,45","0,41",cultural
"Impairments of characteristics, aesthetic and cultural value",Touristic attractiveness,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",Participation in Cultural and Leisure Activities,Harmony with the surroundings,Municipal Public Resources for Culture,"0,63","0,52","0,49","0,47","0,46",cultural
Impairments or loss of natural or cultural heritage,Heritage and Cultural Identity,City council of culture and historical heritage,Protection and management of cultural heritage,"Preservation, valorization, and diffusion actions of material and intangible heritage","Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","0,51","0,48","0,42","0,4","0,39",cultural
"Impairments through visual, acoustic or olfactory disturbances",Ambient pollutants,Light and noise pollution,Air Quality and Noise Pollution,Number of reported cases or complaints about insect problem,"Air quality index/ pollution concentration levels (SO2, PM 2.5. PM 10)","0,76","0,68","0,58","0,44","0,44",cultural
Implementation of activities in the area,Management and action plan,Participatory master plan,Construction Plan,Design Review,Planning policies and legislations,"0,59","0,58","0,57","0,54","0,52",cultural
Importance of heritage conservation,Protection and management of cultural heritage,Heritage and Cultural Identity,"Preservation, valorization, and diffusion actions of material and intangible heritage",Biodiversity and Habitat Conservation/Restoration,City council of culture and historical heritage,"0,82","0,81","0,61","0,56","0,53",cultural
Improved attendance and participation in arts activities and events,Participation in Cultural and Leisure Activities,Access to Cultural Facilities,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",Cultural Facilities,Size and quality of community centers and public indoor/outdoor recreation spaces,"0,63","0,58","0,55","0,46","0,46",cultural
Increase cultural exchange,Cross-city engagements and collaborations for knowledge/experience exchange,Access to Cultural Facilities,Population growth,Participation in Cultural and Leisure Activities,Cultural Facilities,"0,61","0,59","0,55","0,54","0,52",cultural
Increase in arts and cultural participation rates,Participation in Cultural and Leisure Activities,Access to Cultural Facilities,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",Cultural Facilities,Population growth,"0,64","0,58","0,56","0,51","0,46",cultural
Increase in the number of artists and arts,Number of Biodiversity Projects Implemented by the City Annually,Percentage of people employed in the tertiary industry,Rate of employment in knowledge-intensive sectors/ creative industry,job creation (new jobs p. year),Touristic attractiveness,"0,53","0,46","0,46","0,43","0,42",cultural
Increased harmonization of landscapes,Harmony with the surroundings,Landscape and vegetation cover,Closeness to nature,Aggregation index of Green Space,Satisfaction with cycle paths,"0,56","0,45","0,45","0,44","0,43",cultural
Innovation and creativity to experience nature and cultural heritage,Nature Conservation and Biodiversity,Natural Landscape Indicator,Biodiversity and Habitat Conservation/Restoration,Change in Number of Native Species,Proportion of Natural Areas in the City,"0,54","0,52","0,52","0,52","0,5",cultural
Inspirational landscapes,Proportion of Natural Areas in the City,Natural Landscape Indicator,Innovative Spirit,Development Outside Cities,Proportion of Protected Natural Areas,"0,56","0,55","0,53","0,47","0,47",cultural
Institutional management of International fests or expert meetings,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","Cultural centers, houses, and cultural spaces",Access to Cultural Facilities,Rate of employment in knowledge-intensive sectors/ creative industry,Cultural Facilities,"0,5","0,5","0,48","0,47","0,46",cultural
Intangible heritage. Past and contemporary identities,Heritage and Cultural Identity,Identity and local culture,"Preservation, valorization, and diffusion actions of material and intangible heritage",Ethnic diversity,Change in Number of Native Species,"0,75","0,59","0,49","0,44","0,43",cultural
Intervention of cultural landscape protection,Protection and management of cultural heritage,Biodiversity and Habitat Conservation/Restoration,Heritage and Cultural Identity,Space allocated to nature conservation,Cultural Facilities,"0,71","0,52","0,52","0,49","0,49",cultural
Investments required for restoration of cultural property,Protection and management of cultural heritage,Expenditure on Infrastructure,Heritage and Cultural Identity,"Preservation, valorization, and diffusion actions of material and intangible heritage","Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","0,57","0,52","0,47","0,45","0,42",cultural
L/T ratio,Land use miscegenation,VMT,Population under 20 years of age,Annual average concentration of NO2 (μg/m3),Informal settlements,"0,56","0,55","0,51","0,5","0,47",cultural
Land lot sizes,Land use,Amount of land owned by the household,OPEN AREA LAND USE,Land Use Mix,Residential Land Use,"0,66","0,66","0,56","0,53","0,48",cultural
Landscape (viewsheds and landmarks),Natural Landscape Indicator,Proportion of Protected Natural Areas,Areas of protected natural spaces,Proportion of Natural Areas in the City,"Percentage of park management staff who possess qualifications related to ecology, environmental management, landscape architecture, or other park management-related disciplines","0,59","0,58","0,5","0,47","0,46",cultural
Landscape value index,Agricultural Production Acres and Value,Comercial land use,Land use,Land use efficiency,Secondary industry capital value,"0,66","0,62","0,5","0,49","0,48",cultural
Landscapes injured,Land cover change,Landscape and vegetation cover,Natural Landscape Indicator,Land use change,Land reclamation,"0,54","0,54","0,47","0,46","0,42",cultural
Large solitary oaks in grazing or arable land,Percentage of forest lands,Forest area per capita,Density of trees within the park,Landscape and vegetation cover,Proportion of people 65 years and over living alone,"0,54","0,5","0,47","0,45","0,39",cultural
Level of satisfaction with the visit to cultural sites of the destination,Touristic attractiveness,Satisfaction (perception of) with quality of life and urban services,Participation in Cultural and Leisure Activities,Protection and management of cultural heritage,Satisfaction with cycle paths,"0,67","0,54","0,51","0,51","0,49",cultural
Level of sensitivity of interpretive material and activities pursued,"Infrastructure, systems and strategies for data collection (sensing, mining, etc.)",Existence of a Local Biodiversity Strategy and Action Plan,Participatory master plan,Strong leadership promoting innovation and smart solutions,"Policies, programs, and plans for promoting entrepreneurship, creativity/innovation","0,55","0,53","0,53","0,46","0,45",cultural
Levels of damage,Mortality rate of disasters,Expenditure on Infrastructure,Disasters mitigation,"Disaster risk planning, monitoring, and management",Risk reduction and control programs,"0,54","0,5","0,5","0,46","0,46",cultural
Linear elements indicator,Average Travel Timea,Trip length frequency,LANE CYCLE,Travel Time,Average trip length,"0,57","0,52","0,5","0,48","0,48",cultural
Listed built elements,Built,Housing construction materials,Conservation of buildings,Construction Plan,Housing quality,"0,73","0,58","0,56","0,54","0,53",cultural
Local concept of sustainable use,Local and sustainable industry,Sustainable Resource Management,Sustainable site,Sustainable Natural Resource Management,Sustainability Awareness,"0,62","0,57","0,56","0,52","0,42",cultural
Lookout tower,Foreclosures,Conservation of buildings,Individual security,Open Space,Urban space hierarchy,"0,43","0,39","0,37","0,35","0,34",cultural
Loss of authenticity and becoming impersonal,Water loss,% reduction of CO2 emissions,Informal settlements,Most people can be trusted (synthetic index 0–100),Feeling of belonging,"0,44","0,43","0,41","0,41","0,37",cultural
Loss of landscape elements and character (tangible - intangible),Territory consumed in areas not yet urbanized,Landscape and vegetation cover,Percentage of forest lands,Land cover change,Forest area per capita,"0,52","0,45","0,45","0,44","0,44",cultural
Maintaining traditional irrigation system,Sewerage system,Rainwater harvesting system,Rainwater Management,Conservation of agricultural lands,Water reuse,"0,58","0,53","0,53","0,52","0,51",cultural
Management type and frequency,Proportion of working age population qualified at level 5 or 6 ISCED,"Information on routes, schedules, times",Population growth rate over the period –,Trip length frequency,Participation rate for all sectors,"0,44","0,43","0,42","0,39","0,39",cultural
Manor or palace symbol in a printed map,Residential scheme,Proportion of households living in houses,VMT,Secondary school,Patent Applications / Registration for Inhabitant,"0,38","0,35","0,34","0,32","0,32",cultural
Memorial stones,Heritage and Cultural Identity,"Preservation, valorization, and diffusion actions of material and intangible heritage",Regional Materials,Material recycling,Protection and management of cultural heritage,"0,46","0,4","0,39","0,39","0,33",cultural
Memory/transformative value,"Preservation, valorization, and diffusion actions of material and intangible heritage",Recycled Materials,Resource recovery,Energy intensity. MWh consumed per M€ of value added produced,Intelligent and transparent procurement and bidding systems,"0,53","0,45","0,38","0,37","0,36",cultural
Monitor new knowledge and changes in traditional use patterns,Innovating Practice,Change ratio of young female population,Access to information,Consultation and Engagement,Cross-city engagements and collaborations for knowledge/experience exchange,"0,48","0,46","0,43","0,43","0,42",cultural
Monuments and historical buildings,City council of culture and historical heritage,Heritage and Cultural Identity,Protection and management of cultural heritage,"Preservation, valorization, and diffusion actions of material and intangible heritage",Native Biodiversity in Built Up Areas (Bird Species),"0,54","0,53","0,49","0,48","0,46",cultural
Museums,"Cultural centers, houses, and cultural spaces",City council of culture and historical heritage,Access to Cultural Facilities,Cultural Facilities,Presence of major international and domestic enterprises and entities,"0,51","0,48","0,48","0,43","0,33",cultural
New identities programmes and spaces. Alternative forms of celebrating contemporary culture.,Cultural Facilities,Innovative Spirit,"Cultural centers, houses, and cultural spaces",Change in Number of Native Species,Access to Cultural Facilities,"0,55","0,5","0,5","0,49","0,48",cultural
No. of visitors and tourists,Population,Presence of user assessment of favorite and least favorite park facilities,Population growth,personality and neighbourhood,Number of reported crimes in the park,"0,55","0,48","0,47","0,47","0,46",cultural
Nostalgia,Recycled residential waste,Recycle waste,Compost collection,Recycled Materials,Accumulated ozone concentration in excess 70 μg/m3,"0,42","0,36","0,36","0,34","0,33",cultural
Number and visibility of disturbing elements and objects,Mortality rate of disasters,Number of reported accidents in the park,Number of reported crimes in the park,Accidents rate in public transport,Light and noise pollution,"0,53","0,48","0,47","0,46","0,4",cultural
Number of citizens initiatives,Public Participation,Public participation and stakeholder engagement in decision making,Rate of citizen particip. in public affairs (public hearings),Rate of participation in municipal elections,Population,"0,7","0,55","0,55","0,54","0,53",cultural
Number of cultural sites affected by natural disasters and urban expansion,Proportion of Natural Areas in the City,Number of reported accidents in the park,New urban centers in the non-urbanized sector in relation to the total growth of the territory,Urban sprawl,Risk of natural disasters,"0,55","0,51","0,48","0,48","0,46",cultural
Number of cultural volunteers,"Volunteers for Health, safety and enivironmental plans/projects","Supporting of Health, safety and enivironmental Non-Governmental Organizations s",Participation in Cultural and Leisure Activities,Population receiving social assistance,Citizen education campaigns,"0,59","0,5","0,47","0,42","0,42",cultural
Number of cultural–educational programs.,Access to Cultural Facilities,"Cultural centers, houses, and cultural spaces",Participation in Cultural and Leisure Activities,Cultural Facilities,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","0,68","0,66","0,62","0,62","0,61",cultural
Number of events to popularize cultural heritage,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",Access to Cultural Facilities,"Cultural centers, houses, and cultural spaces",Participation in Cultural and Leisure Activities,Cultural Facilities,"0,73","0,7","0,67","0,66","0,65",cultural
Number of expert guides in interpretation,Importance as a knowledge hub,Smart and appropriate location,Qualification and skills,Strong leadership promoting innovation and smart solutions,Total destinations within reach in a given timea,"0,46","0,45","0,44","0,43","0,42",cultural
Number of festivals and customs preserved,Heritage and Cultural Identity,"Cultural centers, houses, and cultural spaces",Cultural Facilities,Protection and management of cultural heritage,City council of culture and historical heritage,"0,63","0,57","0,53","0,48","0,47",cultural
Number of healing plants,Health status of the population,Number and population of typical faunal and floral species,Thermal comfort strategies,Number of complaints about hygienic conditions,Health conditions,"0,48","0,46","0,46","0,44","0,38",cultural
Number of man-made structures with a function,Percentage of built-up areas,Availability of innovative facilities or equipment,Construction Plan,Percentage of people employed in the tertiary industry,Interindustrial relations,"0,43","0,42","0,41","0,4","0,4",cultural
Number of officially designated sites and its management,DEMONSTRABLE EXPERIENCE IN THE SIMILAR PROJECTS,Management and action plan,Number of workers,Construction Plan,Conservation of buildings,"0,47","0,44","0,43","0,39","0,37",cultural
Number of products of denominated origin,Presence of local government projects and other agents,Presence of major international and domestic enterprises and entities,Proportion of households that are lone-pensioner households,Share of investment in fixed assets to GDP,Tertiary industry value to GDP ratio,"0,46","0,39","0,36","0,35","0,35",cultural
Number of protected designated sites,Reserves and protected areas,Areas of protected natural spaces,Number of security guards on duty in the park,Shelters for disaster mitigation,Conservation of buildings,"0,68","0,56","0,55","0,49","0,48",cultural
Number of special element attractions,Touristic attractiveness,Presence of user assessment of favorite and least favorite park facilities,personality and neighbourhood,Access to parks & recreation areas,Number of reported crimes in the park,"0,6","0,53","0,45","0,42","0,42",cultural
"Number of view axes, panoramas",Diversity of transport modes,Total destinations within reach in a given timea,Biodiversity,Amenities,Population exposed to Nigh >55dB,"0,47","0,43","0,41","0,39","0,36",cultural
Objects as recreation attractions,Touristic attractiveness,Access to parks & recreation areas,Proportion of Natural Areas in the City,Presence of user assessment of favorite and least favorite park facilities,Sport facilities and services,"0,57","0,56","0,5","0,49","0,47",cultural
Occupied spaces,Open Space,Proportion of Invasive Alien Species,Travel Time,Noise,Type of occupancy,"0,64","0,56","0,46","0,45","0,41",cultural
Opportunities for ocean viewing,"access to open, natural, and green space",Accessibility of public spaces,Diversity of water resources,Surface water quality,Availability and publication of data in an open format under open licenses,"0,54","0,52","0,51","0,48","0,47",cultural
Organizations listed on Councils Artist Register,Identity and local culture,Rate of employment in knowledge-intensive sectors/ creative industry,City council of culture and historical heritage,Number of workers,Presence of local government projects and other agents,"0,52","0,49","0,47","0,44","0,43",cultural
Parking places in building surroundings,Parking facilities,"design features that allow for social interaction (parking, squares, etc)",Parking fees,Public car parking availability,Toll parking,"0,82","0,69","0,68","0,51","0,5",cultural
Parkland,Area of the park,Park land use,Area of parks & open space,Public parks and gardens,Access to parks & recreation areas,"0,88","0,79","0,75","0,69","0,65",cultural
Participate cultural activities,Cultural Facilities,Access to Cultural Facilities,Participation in Cultural and Leisure Activities,"Cultural centers, houses, and cultural spaces","Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","0,79","0,74","0,67","0,64","0,64",cultural
Patch size of areas of a topographic changes,Land cover change,Proportion of people who have moved in the last year;,Applications for mobile devices,indicator of urban fragmentation,Land use change,"0,44","0,4","0,34","0,33","0,32",cultural
Percent of population participating in first salmon ceremony in past year,Change ratio of young female population,Young population,"Number of books in public libraries per 10,000 inhabitants",Total use of water (m3 per capita per year),Rate of citizen particip. in public affairs (public hearings),"0,47","0,42","0,4","0,39","0,39",cultural
Percent satisfied with cultural integrity/sense of security,Satisfaction with safety as a cyclist,Satisfaction with safety as a pedestrian,Safe cultural and religious sites,Safe and healthy daily markets,Safe streets,"0,63","0,63","0,57","0,56","0,55",cultural
Percentage of Aboriginal participating in traditional activities,Heritage and Cultural Identity,Change in Number of Native Species,City council of culture and historical heritage,Identity and local culture,Status of participatory monitoring of biodiversity,"0,49","0,49","0,49","0,44","0,37",cultural
Percentage of Aboriginal people speaking traditional languages,Change in Number of Native Species,Identity and local culture,Native Biodiversity in Built Up Areas (Bird Species),Number and population of typical faunal and floral species,Ethnic diversity,"0,6","0,53","0,51","0,47","0,46",cultural
Percentage of renovated buildings,Percentage of built-up areas,Built,Percentage of building land in built-up areas,Housing construction materials,Jobs/housing balance,"0,71","0,64","0,63","0,59","0,58",cultural
Perceptions of marine associated spirituality,Percentage of wastewater treated,Annual average concentration of NO2 (μg/m3),Drinking water consumption,Sewage and wastewater management and treatment/recycling,"Quality of water resources and water bodies, quality monitoring","0,44","0,42","0,41","0,41","0,39",cultural
Performing Arts,Cultural Facilities,Access to Cultural Facilities,Participation in Cultural and Leisure Activities,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","Cultural centers, houses, and cultural spaces","0,55","0,53","0,53","0,51","0,43",cultural
"Performing arts, national monuments, museums",City council of culture and historical heritage,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","Cultural centers, houses, and cultural spaces",Access to Cultural Facilities,Cultural Facilities,"0,71","0,7","0,7","0,65","0,61",cultural
Permanent grassland indicator,Percentage of agricultural lands,Landscape and vegetation cover,Conservation of agricultural lands,Green Space per vegetation cover,Green Space per bare soils,"0,68","0,66","0,65","0,62","0,56",cultural
Place Identity,Smart and appropriate location,Area Management,Individual security,Security by design,Identity and local culture,"0,52","0,45","0,43","0,41","0,4",cultural
Places heterotopic,Diversity of transport modes,Proportion of Invasive Alien Species,Ethnic heterogeneity,indicator of urban fragmentation,Ethnic diversity,"0,6","0,58","0,56","0,52","0,51",cultural
Places of Taste,Smart and appropriate location,Identity and local culture,personality and neighbourhood,Touristic attractiveness,Harmony with the surroundings,"0,56","0,46","0,45","0,45","0,4",cultural
"Places of celebration, traditional & contem (remembran, feast)",Heritage and Cultural Identity,Identity and local culture,"Cultural centers, houses, and cultural spaces",City council of culture and historical heritage,"Preservation, valorization, and diffusion actions of material and intangible heritage","0,61","0,44","0,43","0,38","0,31",cultural
Places of events,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",Participation in public life/political awareness,Public facilities and spaces,Access to sports facilities,Activity rate,"0,47","0,46","0,46","0,43","0,42",cultural
Places of personality,personality and neighbourhood,Identity and local culture,Type of occupancy,Leisure,Smart and appropriate location,"0,74","0,55","0,42","0,41","0,41",cultural
"Places of socialisation (parks, benches, etc.)",Number of community events in the park,Number of types of facilities in the park,Access to parks & recreation areas,Area of the park,Participation in sports in parks and swimming pools,"0,79","0,69","0,64","0,63","0,61",cultural
Plan that does not spoil natural and historical environment,Protection and management of cultural heritage,Ecological Preservation,Natural hazard mitigation and protection,Climate Regulation: Carbon Storage and Cooling Effect of Vegetation,Space allocated to nature conservation,"0,58","0,57","0,55","0,52","0,52",cultural
Plastic Arts,Sport facilities and services,Amenities,Presence of SD strategies,Biodiversity,Domestic solid waste,"0,49","0,44","0,42","0,42","0,41",cultural
Point field elements indicator,Smart and appropriate location,Area of the park,indicator of urban fragmentation,Natural Landscape Indicator,Area Management,"0,55","0,44","0,43","0,42","0,41",cultural
Pollution of the façade with modern stylistics,Innovative Economic Activities,Innovative Spirit,Land use miscegenation,Innovating Practice,"Ecological cars (electric, natural-gas)","0,45","0,45","0,44","0,39","0,38",cultural
Porosity,Innovative Spirit,Ventilation potential,Generated waste,Flexibility of future expansion,Urban sprawl,"0,5","0,45","0,43","0,43","0,43",cultural
Potential landscape quality index,Natural Landscape Indicator,OPEN AREA LAND USE,Park land use,Landscape and vegetation cover,Green land cover rate in built area,"0,72","0,65","0,57","0,56","0,53",cultural
"Presence of spectacular, unique or iconic elements and landmarks",Intelligent buildings,Touristic attractiveness,Smart and appropriate location,Importance as a knowledge hub,Heritage and Cultural Identity,"0,54","0,54","0,47","0,42","0,34",cultural
Preserved historical/cultural values,Heritage and Cultural Identity,Protection and management of cultural heritage,"Preservation, valorization, and diffusion actions of material and intangible heritage",City council of culture and historical heritage,Cultural Facilities,"0,86","0,82","0,66","0,54","0,5",cultural
Pressure of parking,Parking fees,Toll parking,Parking facilities,Restricted traffic zones,Public car parking availability,"0,85","0,77","0,76","0,72","0,69",cultural
Pressure on cultural heritage,Heritage and Cultural Identity,Protection and management of cultural heritage,Cultural Facilities,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",City council of culture and historical heritage,"0,7","0,65","0,58","0,56","0,55",cultural
Process transparency,Governmental transparency,Transparent governance/Efficient and transparent administration,Access to information,-National Accessibility,"Strategies and infrastructure for timely data communication, sharing, and reporting","0,78","0,63","0,58","0,58","0,55",cultural
Processes: governance of cultural ecosystem services indicator,Cultural Facilities,Shared architecture for multi-level governance and inter-agency collaboration,Access to Cultural Facilities,Protection and management of cultural heritage,Life Cycle Assessment,"0,55","0,51","0,5","0,45","0,43",cultural
Promotion and cultural events,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",Cultural Facilities,Access to Cultural Facilities,"Cultural centers, houses, and cultural spaces",Participation in Cultural and Leisure Activities,"0,75","0,7","0,67","0,62","0,56",cultural
Promotion and education in Past Identities programmes and spaces,Recreation and Education,Education facilities,Education: Research and Technology,Education,Education and Awareness,"0,71","0,7","0,65","0,64","0,64",cultural
Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,Access to parks & recreation areas,Size and quality of community centers and public indoor/outdoor recreation spaces,Percentage of open area within the park,Presence of user assessment of favorite and least favorite park facilities,"access to open, natural, and green space","0,45","0,44","0,43","0,43","0,42",cultural
Protect hunting and trapping area,Flood Avoidance,Conservation of agricultural lands,Crime Prevention,Biodiversity and Habitat Conservation/Restoration,Nature Conservation and Biodiversity,"0,61","0,56","0,53","0,52","0,52",cultural
"Protecting and enhancing cultural heritage, local identity and assets",Protection and management of cultural heritage,Heritage and Cultural Identity,"Preservation, valorization, and diffusion actions of material and intangible heritage",City council of culture and historical heritage,"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)","0,8","0,7","0,63","0,55","0,49",cultural
Protection UNESCO sites,Areas of protected natural spaces,Reserves and protected areas,Natural hazard mitigation and protection,Proportion of Protected Natural Areas,Ecological Preservation,"0,77","0,67","0,66","0,62","0,61",cultural
Protection of culturally important species,Protection and management of cultural heritage,Nature Conservation and Biodiversity,Space allocated to nature conservation,Areas of protected natural spaces,Biodiversity and Habitat Conservation/Restoration,"0,75","0,73","0,68","0,67","0,66",cultural
Protection of the Archaeological Heritage,Protection and management of cultural heritage,Ecological Preservation,Areas of protected natural spaces,Natural hazard mitigation and protection,Reserves and protected areas,"0,78","0,62","0,61","0,58","0,58",cultural
